NAME : ja9847
125 26168.8889 127800.2778
126 26169.4444 127718.3333
127 26170.2778 127820.5556
128 26171.6667 127772.5000
129 26173.0556 127344.7222
130 26173.3333 127765.2778
131 26173.6111 127680.0000
132 26173.6111 127730.5556
133 26173.8889 127713.8889
134 26175.8333 127792.7778
135 26176.3889 127801.9444
136 26178.3333 127695.2778
137 26178.8889 127822.5000
138 26179.4444 127291.1111
139 26180.0000 127706.9444
140 26181.1111 127742.7778
141 26182.7778 127750.5556
142 26183.3333 127350.0000
143 26183.3333 127633.3333
144 26183.3333 127666.6667
145 26183.3333 127750.0000
146 26183.3333 127766.6667
147 26183.3333 127800.0000
148 26183.8889 127818.6111
149 26184.4444 127774.1667
150 26184.7222 127759.7222
151 26185.8333 127725.0000
152 26185.8333 127726.3889
153 26185.8333 127730.0000
154 26186.1111 127658.3333
155 26186.1111 127660.0000
156 26186.1111 127680.5556
157 26188.6111 127713.3333
158 26190.5556 127660.8333
159 26191.1111 127278.8889
160 26193.0556 127694.4444
161 26195.2778 127755.0000
162 26195.8333 127768.0556
163 26196.6667 127726.9444
164 26198.0556 127698.8889
165 26198.6111 127364.1667
166 26200.0000 127450.0000
167 26200.0000 127650.0000
168 26200.0000 127666.6667
169 26201.1111 127684.4444
170 26201.1111 127744.7222
171 26202.2222 127756.3889
172 26204.1667 127689.4444
173 26205.2778 127742.5000
174 26206.6667 127707.7778
175 26212.2222 127677.7778
176 26213.3333 127696.3889
177 26215.8333 127758.6111
178 26216.6667 127316.6667
179 26216.6667 127666.6667
180 26216.6667 127700.0000
181 26216.6667 127716.6667
182 26216.6667 127766.6667
183 26216.6667 127783.3333
184 26217.2222 127674.1667
185 26217.5000 127684.7222
186 26218.0556 127670.2778
187 26219.1667 127752.2222
188 26219.7222 127761.3889
189 26223.6111 127688.0556
190 26223.6111 127718.0556
191 26224.1667 127753.6111
192 26227.5000 127293.0556
193 26229.1667 127301.6667
194 26230.2778 127728.8889
195 26233.3333 127316.6667
196 26233.3333 127683.3333
197 26233.3333 127700.0000
198 26233.3333 127783.3333
199 26233.6111 127743.3333
200 26235.8333 127682.7778
EOF
